epoch,accuracy,learning_rate,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
20,0.946266233921051,9.999999747378752e-06,0.16944575309753418,0.9932113885879517,0.958294689655304,0.11675000935792923,0.9958294630050659
21,0.9500632882118225,9.999999747378752e-06,0.15607035160064697,0.9940168261528015,0.9610750675201416,0.11340192705392838,0.9958294630050659
22,0.949948251247406,9.999999747378752e-06,0.16148653626441956,0.9937866926193237,0.9606117010116577,0.11080764979124069,0.9962928891181946
23,0.9530549049377441,9.999999747378752e-06,0.13893650472164154,0.9942469000816345,0.9615384340286255,0.1077999696135521,0.9967562556266785
24,0.9555862545967102,9.999999747378752e-06,0.12898807227611542,0.9937866926193237,0.9615384340286255,0.10756796598434448,0.9967562556266785
25,0.9523645043373108,9.999999747378752e-06,0.14570483565330505,0.9943619966506958,0.9629286527633667,0.10301211476325989,0.9972196221351624
26,0.9570820331573486,9.999999747378752e-06,0.12919214367866516,0.996087908744812,0.9652456045150757,0.09956606477499008,0.997683048248291
27,0.9565067291259766,9.999999747378752e-06,0.1303032487630844,0.9952824711799622,0.9657089710235596,0.09892520308494568,0.997683048248291
28,0.958002507686615,9.999999747378752e-06,0.12465003877878189,0.9944770336151123,0.9666357636451721,0.09798261523246765,0.9981464147567749
29,0.9571971297264099,9.999999747378752e-06,0.12409273535013199,0.9949373006820679,0.9657089710235596,0.09716924279928207,0.9981464147567749
30,0.9598435163497925,9.999999747378752e-06,0.11618466675281525,0.9962029457092285,0.9666357636451721,0.09657252579927444,0.9981464147567749
31,0.9631803035736084,9.999999747378752e-06,0.11279971897602081,0.9945921301841736,0.9670991897583008,0.09640606492757797,0.9981464147567749
32,0.959958553314209,9.999999747378752e-06,0.1111559122800827,0.9963180422782898,0.9675625562667847,0.0941435918211937,0.9981464147567749
33,0.963640570640564,9.999999747378752e-06,0.10357830673456192,0.9968933463096619,0.9694161415100098,0.09286116808652878,0.997683048248291
34,0.9641007781028748,9.999999747378752e-06,0.10845724493265152,0.9965481758117676,0.9684893488883972,0.09240932017564774,0.9981464147567749
35,0.9629501700401306,9.999999747378752e-06,0.10969570279121399,0.9958577752113342,0.9680259227752686,0.09320687502622604,0.9981464147567749
36,0.9631803035736084,9.999999747378752e-06,0.10649823397397995,0.9967782497406006,0.9698795080184937,0.08868490159511566,0.9986098408699036
37,0.962259829044342,9.999999747378752e-06,0.1103421300649643,0.9967782497406006,0.9694161415100098,0.09023430198431015,0.9981464147567749
38,0.9650213122367859,9.999999747378752e-06,0.09865861386060715,0.9967782497406006,0.9684893488883972,0.09308861196041107,0.997683048248291
39,0.9664020538330078,9.999999747378752e-06,0.09686323255300522,0.9966632127761841,0.9680259227752686,0.09277573972940445,0.9981464147567749
40,0.9643309116363525,9.999999747378752e-06,0.10330552607774734,0.9970083832740784,0.9684893488883972,0.08908062428236008,0.9990732073783875
41,0.9646760821342468,1.9999999949504854e-06,0.10635450482368469,0.9979289174079895,0.9680259227752686,0.08966866880655289,0.9990732073783875
42,0.9667472243309021,1.9999999949504854e-06,0.098096564412117,0.9970083832740784,0.9694161415100098,0.08905237913131714,0.9990732073783875
43,0.9680128693580627,1.9999999949504854e-06,0.0932888388633728,0.9978138208389282,0.9684893488883972,0.08901193737983704,0.9990732073783875
44,0.9653664827346802,1.9999999949504854e-06,0.0974966362118721,0.9971234798431396,0.9698795080184937,0.08924601972103119,0.9990732073783875
45,0.969508707523346,4.0000000467443897e-07,0.08764693886041641,0.9968933463096619,0.9689527153968811,0.0887504518032074,0.9990732073783875
46,0.965826690196991,4.0000000467443897e-07,0.09403596818447113,0.9964330792427063,0.9698795080184937,0.08837650716304779,0.9990732073783875
47,0.965596616268158,4.0000000467443897e-07,0.09657991677522659,0.9974686503410339,0.9703429341316223,0.088313028216362,0.9990732073783875
48,0.9659417867660522,4.0000000467443897e-07,0.0952739268541336,0.9970083832740784,0.9698795080184937,0.08845014125108719,0.9990732073783875
49,0.9650213122367859,4.0000000467443897e-07,0.09364887326955795,0.9972385168075562,0.9698795080184937,0.08793103694915771,0.9990732073783875
50,0.9631803035736084,4.0000000467443897e-07,0.10407347977161407,0.9957427382469177,0.9698795080184937,0.08797530084848404,0.9990732073783875
